# 2026-09-01_15:48:33.524463 - WattAMeter run 8df135df-f131-42d1-957a-2052994a42b9
# timestamp                  reading-time[ns] cpu-0-r0[uJ] cpu-0-r1[uJ] cpu-0-core[uJ] cpu-0-uncore[uJ] psys[uJ] cpu-0-r0[W] cpu-0-r1[W] cpu-0-core[W] cpu-0-uncore[W] psys[W]
  2026-09-01_15:48:34.626492 153243 73078447135 73078447135 24284529811 994776139 207048789167 9.969422796662775 10.072960678914736 1.9720793376385504 0.0219329476859882 33.72821353806106
  2026-09-01_15:48:34.726706 302146 73079446216 73079456592 24284727442 994778337 207052169224 11.247716869064577 11.144050815389061 3.036797932241885 0.0530519222260019 35.05786915665547
  2026-09-01_15:48:34.826797 203553 73080572007 73080572007 24285031397 994783647 207055678188 12.642877686133271 12.642877686133271 4.409240525473022 0.010361564857280983 37.122998909048114
  2026-09-01_15:48:34.926878 179267 73081837324 73081837324 24285472680 994784684 207059393510 9.810078697332608 9.810078697332608 1.7514896634812147 0.007324018913194728 33.03202472732667
  2026-09-01_15:48:35.026960 176355 73082819133 73082819133 24285647972 994785417 207062699410 10.802943136398019 10.802943136398019 2.6151278380049883 0.043864651057000326 34.925875727709965
  2026-09-01_15:48:35.127132 280952 73083901283 73083901283 24285909934 994789811 207066197997 10.478390714825293 10.478390714825293 2.434765630001408 0.0036610309463144817 34.17213287261693
  2026-09-01_15:48:35.227103 111608 73084948827 73084948827 24286153342 994790177 207069614248 13.164200555358784 13.164200555358784 4.982215842058458 0.007295932082894846 37.40337717448636
  2026-09-01_15:48:35.327570 396197 73086271394 73086271394 24286653890 994790910 207073372051 10.127803817798368 10.127803817798368 1.9458878299909284 0.004274234569672865 33.81393013686519
  2026-09-01_15:48:35.427471 75427 73087283171 73087283171 24286848286 994791337 207076750094 9.156842034617645 9.156842034617645 1.2904517040370207 0.0 30.401906415386186
  2026-09-01_15:48:35.527601 70422 73088200039 73088200039 24286977498 994791337 207079794215 9.499967494754436 9.499967494754436 1.4556679564407344 0.0 31.14192205513656
  2026-09-01_15:48:35.627769 88663 73089151636 73089151636 24287123310 994791337 207082913653 8.916657455704321 8.916657455704321 0.9730709529480616 0.0 30.22670467759289
  2026-09-01_15:48:35.727940 88513 73090044822 73090044822 24287220783 994791337 207085941477 9.178627978300995 9.178627978300995 1.356227775544843 0.0 30.49920462371069
  2026-09-01_15:48:35.827938 41218 73090962666 73090962666 24287356403 994791337 207088991335 9.846195713747425 9.846195713747425 1.8847371072536971 0.0 31.91559972338134
  2026-09-01_15:48:35.928489 605045 73091952715 73091952715 24287545916 994791337 207092200494 8.690017175323344 8.690017175323344 1.0358256859888786 0.0 29.68657595032309
  2026-09-01_15:48:36.028484 264833 73092821670 73092821670 24287649493 994791337 207095168992 8.782506714402167 8.782506714402167 0.9614120719967902 0.0 29.426717986164878
  2026-09-01_15:48:36.128662 272162 73093701490 73093701490 24287745806 994791337 207098116922 8.942917758741928 8.942917758741928 1.241849389503292 0.0 29.76726810714057
  2026-09-01_15:48:36.228777 379551 73094596812 73094596812 24287870134 994791337 207101097078 10.776608152023954 10.776608152023954 2.642985125008942 0.0 32.89080423888384
  2026-09-01_15:48:36.328979 260844 73095676644 73095676644 24288134965 994791337 207104392785 8.514420770706748 8.514420770706748 0.9198213143588103 0.0 29.65135313399424
  2026-09-01_15:48:36.429043 118300 73096528631 73096528631 24288227006 994791337 207107359818 8.819674141902432 8.819674141902432 1.0417285134055 0.0 28.521172253462137
  2026-09-01_15:48:36.529291 277583 73097412784 73097412784 24288331437 994791337 207110219003 8.809103708475494 8.809103708475494 1.0022000837640712 0.0 29.06003160944491
  2026-09-01_15:48:36.629534 275893 73098295839 73098295839 24288431901 994791337 207113132081 8.599169047485368 8.599169047485368 0.9230125214688385 0.0 28.683997277636422
  2026-09-01_15:48:36.729847 663939 73099158446 73099158446 24288524491 994791337 207116009454 12.245760926812014 12.245760926812014 4.083548801600259 0.0 33.60998620533231
  2026-09-01_15:48:36.829735 304453 73100381649 73100381649 24288932388 994791337 207119366684 9.924484796736124 9.924484796736124 1.9484532402367405 0.0 30.505812627455185
  2026-09-01_15:48:36.929911 420694 73101375848 73101375848 24289127577 994791337 207122422646 9.058388377391992 9.058388377391992 1.215784328668519 0.0013389332644053412 29.286542166652147
  2026-09-01_15:48:37.021029 355917 73102201224 73102201224 24289238356 994791459 207125091157
# 2026-09-01_15:48:51.834159 - WattAMeter run bd6363ae-6255-4d64-97f7-28e28236f70a
