# 2026-09-01_15:48:33.524463 - WattAMeter run 8df135df-f131-42d1-957a-2052994a42b9
# timestamp                  reading-time[ns] cpu-0-r0[uJ] cpu-0-r1[uJ] cpu-0-core[uJ] cpu-0-uncore[uJ] psys[uJ] cpu-0-r0[W] cpu-0-r1[W] cpu-0-core[W] cpu-0-uncore[W] psys[W]
  2026-09-01_15:48:33.527119 69801 73055297719 73055297719 24271355711 994444170 206993573854 35.947233391174684 35.947233391174684 25.926614351576205 0.7589433768383889 72.77418499832872
  2026-09-01_15:48:33.625153 80326 73058821758 73058821758 24273897392 994518572 207000708174 35.94500539221577 35.94500539221577 25.810788123317124 0.6736573958058981 72.95569856842584
  2026-09-01_15:48:33.725267 86339 73062420381 73062420381 24276481431 994586015 207008012111 30.439665790179937 30.439665790179937 21.083086788160717 0.16149574110520395 63.920194046493194
  2026-09-01_15:48:33.825425 67905 73065469140 73065469140 24278593059 994602190 207014414194 24.856657294358843 24.856657294358843 15.699124873139915 0.07922763619723962 54.62149361289843
  2026-09-01_15:48:33.925567 80635 73067958331 73067958331 24280165198 994610124 207019884090 29.40520065487323 29.40520065487323 19.87737038141025 0.5624318773203288 62.343615673589376
  2026-09-01_15:48:34.025621 61079 73070900462 73070900462 24282154024 994666398 207026121867 18.269487714449273 18.269487714449273 9.807418529720694 0.03412164925005047 44.482531312852515
  2026-09-01_15:48:34.125793 85790 73072730535 73072730535 24283136443 994669816 207030577727 12.60402622111747 12.60402622111747 3.500339066174215 0.553328839075759 42.071712296160925
  2026-09-01_15:48:34.225950 123155 73073992922 73073992922 24283487028 994725236 207034791522 12.906193742360466 12.906193742360466 3.6220750023014485 0.46030975584184436 40.682953759416755
  2026-09-01_15:48:34.326061 129563 73075284972 73075284972 24283849637 994771318 207038864327 9.246475273137765 9.246475273137765 0.9375727110249729 0.0 31.70123782929305
  2026-09-01_15:48:34.426183 133582 73076210751 73076210751 24283943509 994771318 207042038330 12.43405314697896 12.43405314697896 4.027858014633075 0.0 35.45068514388085
  2026-09-01_15:48:34.526497 571031 73077458062 73077458062 24284347560 994771318 207045594534 9.891287077288192 9.891287077288192 1.8226126495444221 0.04821271534012795 31.948129318643225
