# 2025-10-07_09:38:40.617145 - Power data for run 10989526
# 2025-10-07_09:38:40.617145 - Tracking started
# timestamp                  reading-time[ns] gpu-0[mW] gpu-1[mW] gpu-2[mW] gpu-3[mW] gpu-0[C] gpu-1[C] gpu-2[C] gpu-3[C]
  2025-10-07_09:38:47.636663 42775 93804 74241 76309 75925 42 41 41 42
  2025-10-07_09:38:47.736795 27963 98349 74229 76077 75848 43 41 41 42
  2025-10-07_09:38:47.837370 25169 102784 74261 75842 75767 43 41 41 42
  2025-10-07_09:38:47.938606 29435 107816 74258 75655 75827 43 41 41 42
  2025-10-07_09:38:48.039717 24147 112124 74217 75430 75875 43 41 41 42
  2025-10-07_09:38:48.145356 41383 117055 74238 75212 75718 43 41 41 42
  2025-10-07_09:38:48.245650 29165 122989 74259 75228 75378 43 41 41 42
  2025-10-07_09:38:48.345772 25539 125447 74236 75188 75086 43 41 41 42
  2025-10-07_09:38:48.447209 24517 125569 74249 75208 74872 43 41 41 42
  2025-10-07_09:38:48.551250 25879 125695 74285 75195 74685 43 41 41 42
  2025-10-07_09:38:48.651413 24807 125781 74271 75201 74475 43 41 41 42
  2025-10-07_09:38:48.752062 43306 125797 74224 75208 74235 43 41 41 42
  2025-10-07_09:38:48.852232 41353 125799 74252 75198 73976 43 41 41 42
  2025-10-07_09:38:48.954129 37347 125784 74251 75205 73561 43 41 41 42
  2025-10-07_09:38:49.055711 28524 125754 74222 75175 73419 43 41 41 42
  2025-10-07_09:38:49.155815 24808 125751 74229 75208 73461 43 41 41 42
  2025-10-07_09:38:49.256821 28213 125710 74261 75162 73518 43 41 41 42
  2025-10-07_09:38:49.358163 25419 125674 74228 75195 73507 43 41 41 42
  2025-10-07_09:38:49.458686 42444 125622 74214 75174 73434 43 41 41 42
  2025-10-07_09:38:49.561932 44888 125569 76492 77523 73384 43 41 41 42
  2025-10-07_09:38:49.662904 23727 125551 81183 82246 73454 43 42 42 42
  2025-10-07_09:38:49.763263 45429 125569 85868 85817 77410 43 42 42 42
  2025-10-07_09:38:49.864665 44658 125582 90591 91755 81900 43 42 42 43
  2025-10-07_09:38:49.965210 49155 125624 95326 96067 86366 43 42 42 43
  2025-10-07_09:38:50.068812 51729 125619 100041 99864 90828 43 42 42 43
  2025-10-07_09:38:50.168881 46141 125639 104799 105111 95757 43 43 42 43
  2025-10-07_09:38:50.268952 45179 125745 110478 110881 100442 43 43 42 43
  2025-10-07_09:38:50.372373 46320 127668 114264 113906 105415 50 43 42 43
  2025-10-07_09:38:50.472444 46011 168017 120680 121455 109966 56 43 42 43
  2025-10-07_09:38:50.572513 45299 239747 174124 121455 114515 56 51 46 50
  2025-10-07_09:38:50.672559 21332 286136 234655 168992 178180 59 56 55 56
  2025-10-07_09:38:50.772626 29625 335264 234655 232312 230690 60 59 57 56
  2025-10-07_09:38:50.872684 22795 406302 289750 285789 283134 61 60 59 58
  2025-10-07_09:38:50.972745 21543 454181 343799 335292 343695 62 61 59 60
  2025-10-07_09:38:51.072805 22073 454181 458519 386969 343695 62 62 60 61
  2025-10-07_09:38:51.172864 22975 526463 458519 457612 395727 63 62 60 61
  2025-10-07_09:38:51.272928 25409 591653 512348 503888 474069 63 63 61 62
  2025-10-07_09:38:51.372987 22695 646155 568400 565387 528256 63 63 62 62
  2025-10-07_09:38:51.473047 23055 669034 634201 619282 571460 63 64 62 62
  2025-10-07_09:38:51.573106 23316 669034 669442 659708 622235 64 64 62 63
  2025-10-07_09:38:51.673162 17817 669630 670877 662432 647652 64 64 62 63
  2025-10-07_09:38:51.773228 25068 669944 672804 663481 648369 64 64 63 63
  2025-10-07_09:38:51.873286 23466 668738 673940 663211 647326 64 64 63 63
  2025-10-07_09:38:51.973329 23876 668285 673929 664765 646855 64 64 63 63
  2025-10-07_09:38:52.073387 22495 668280 674701 666977 646449 64 65 63 64
  2025-10-07_09:38:52.173447 21984 667410 675162 666760 646535 64 65 64 64
  2025-10-07_09:38:52.273498 34783 667349 675309 667665 646264 65 65 64 63
  2025-10-07_09:38:52.373541 22334 668248 676011 669428 646156 65 65 64 64
  2025-10-07_09:38:52.473599 23145 668785 676664 671375 646788 65 65 64 64
  2025-10-07_09:38:52.573654 23776 668116 676416 669488 646593 65 65 64 64
  2025-10-07_09:38:52.673710 18559 668706 676135 668572 647042 65 65 64 64
  2025-10-07_09:38:52.773791 43116 669139 676580 669979 647627 65 65 64 64
  2025-10-07_09:38:52.873849 26150 669594 677413 669979 647627 65 66 64 64
  2025-10-07_09:38:52.973872 24237 669130 676750 671978 647951 65 66 65 64
  2025-10-07_09:38:53.073933 23356 669701 677499 670886 647667 65 66 65 64
  2025-10-07_09:38:53.173992 22614 670131 678398 670593 648088 65 66 65 65
  2025-10-07_09:38:53.274059 29185 669265 678032 671596 648650 65 66 65 64
  2025-10-07_09:38:53.374115 23135 669824 677804 670557 648067 65 66 65 65
  2025-10-07_09:38:53.474175 23486 670623 678495 669933 648523 66 66 65 65
  2025-10-07_09:38:53.574235 22915 670374 678495 671559 648523 66 66 65 65
  2025-10-07_09:38:53.674291 18519 670701 679051 673066 648627 66 66 65 65
  2025-10-07_09:38:53.774334 27692 671270 678219 673007 648329 66 66 65 65
  2025-10-07_09:38:53.874391 23867 671851 678615 670616 648711 66 66 65 65
  2025-10-07_09:38:53.974452 23335 671121 679396 670837 649178 66 66 65 65
  2025-10-07_09:38:54.074512 22394 671523 678780 672838 648610 66 66 65 65
  2025-10-07_09:38:54.174572 23095 672075 678792 673162 649190 66 66 65 65
  2025-10-07_09:38:54.274652 43166 671483 679370 671590 649475 66 66 65 65
  2025-10-07_09:38:54.374707 28033 671149 680125 672696 649221 66 66 65 65
  2025-10-07_09:38:54.474766 25509 671581 678922 672728 649240 66 67 65 65
  2025-10-07_09:38:54.574831 34242 671790 679328 671946 649866 66 66 65 65
  2025-10-07_09:38:54.674885 21653 670918 680279 672015 650557 66 67 65 65
