# 2025-10-07_09:38:40.617145 - Power data for run 10989526
# 2025-10-07_09:38:40.617145 - Tracking started
# timestamp                  reading-time[ns] cpu-0[uJ] cpu-0-core[uJ] cpu-1[uJ] cpu-1-core[uJ] cpu-0[W] cpu-0-core[W] cpu-1[W] cpu-1-core[W]
  2025-10-07_09:38:43.627968 72040 24105474935 268337212 18447040554 209052741 112.89383507132247 0.019384536246246017 112.7358826204867 2.0437880914017126
  2025-10-07_09:38:43.729492 84049 24116936394 268339180 18458485977 209260235 111.64644904531335 0.019062566614897372 110.0693413499604 1.502532714258887
  2025-10-07_09:38:43.830371 1514378 24128199102 268341103 18469589589 209411808 112.55718461049253 0.028132328573486954 109.87971280065783 1.5031630092116441
  2025-10-07_09:38:43.933419 700067 24139797974 268344002 18480912551 209566707 112.39459181302081 0.01811603455805175 109.71294983630126 1.5113022507935938
  2025-10-07_09:38:44.033662 682680 24151064710 268345818 18491910472 209718204 112.5495845817097 0.020888449522951786 109.87160539707962 1.5127535078203156
  2025-10-07_09:38:44.133717 665935 24162325892 268347908 18502903708 209869563 112.5393795224405 0.020272251238595582 109.86806830883424 1.5009858568625993
  2025-10-07_09:38:44.233805 661458 24173589683 268349937 18513900134 210019793 112.1920601100707 0.018293037600275237 109.47967252910178 1.5177323347268528
  2025-10-07_09:38:44.337232 828743 24185193408 268351829 18525223324 210176768 112.9618042258477 0.024138374382458614 109.38214282849992 1.4842045746182468
  2025-10-07_09:38:44.464913 89617 24199616429 268354911 18539189292 210366272 112.45597533416674 0.015994231479747545 109.85811871143986 1.7167306541367842
  2025-10-07_09:38:44.566074 513021 24210992641 268356529 18550302701 210539939 111.47121007569751 0.022123123865038674 111.00673224882865 1.553968194746822
  2025-10-07_09:38:44.668139 1966518 24222369967 268358787 18561632620 210698545 113.16714237128168 0.021306653799764947 109.3222306212116 1.647403147847644
  2025-10-07_09:38:44.767686 666616 24233635345 268360908 18572515251 210862538 112.46439835515808 0.020251117853720853 109.72657497604598 1.4890709837112743
  2025-10-07_09:38:44.867878 701189 24244903378 268362937 18583508976 211011731 112.4358205639806 0.02095836548069261 109.7040196583737 1.4868977113188215
  2025-10-07_09:38:44.969078 700648 24256281955 268365058 18594611093 211162206 111.54601710482589 0.026259938583859492 109.91749706150227 1.489431793006683
  2025-10-07_09:38:45.073077 2289390 24267882598 268367789 18606042372 211317105 114.24229047744726 0.03080973434920025 108.67265563823591 1.4871149873816414
  2025-10-07_09:38:45.190443 87253 24281290702 268371405 18618796793 211491641 112.00181845191892 0.01577606050118208 110.49353958890546 1.8537914873610195
  2025-10-07_09:38:45.291038 625183 24292557576 268372992 18629911941 211678124 111.37158087092536 0.020621465563053352 110.86853852912274 1.5176360726890796
  2025-10-07_09:38:45.393165 1580539 24303931576 268375098 18641234567 211833115 112.92959818873956 0.02002737355049127 109.18223402364889 1.4951567034726623
  2025-10-07_09:38:45.492928 650632 24315197823 268377096 18652126964 211982277 112.41796259100536 0.017977875693480833 109.759273349637 1.5035832771137907
  2025-10-07_09:38:45.593107 721169 24326459707 268378897 18663122504 212132904 112.34793670669566 0.02266669283358351 109.61187840808135 1.4984249590264374
  2025-10-07_09:38:45.693386 732607 24337725879 268381170 18674114306 212283165 112.44026083005129 0.022998435401759765 109.7325816309402 1.5023458795572524
  2025-10-07_09:38:45.795567 1560218 24349215122 268383520 18685326876 212436676 112.38892067727167 0.023511987557219085 110.81721346197617 1.5181828671505524
  2025-10-07_09:38:45.896792 1948009 24360591686 268385900 18696544344 212590354 113.19141279656422 0.021288529311124262 108.38609805570748 1.4923629791421584
  2025-10-07_09:38:45.999288 97048 24372193411 268388082 18707653541 212743316 112.08732061752586 0.018037151290935957 110.66422779950771 1.6066264967190704
  2025-10-07_09:38:46.100801 691364 24383571698 268389913 18718887366 212906409 112.5380331755069 0.021790880410689585 109.90008831398426 1.6797952560034972
  2025-10-07_09:38:46.200935 588877 24394840540 268392095 18729892061 213074613 112.51965798226729 0.01859538863123878 109.87604685446716 1.5190594943780007
  2025-10-07_09:38:46.301067 689000 24406107398 268393957 18740894208 213226720 111.02675395066429 0.018793476000429937 111.36866012720635 1.55296726258628
  2025-10-07_09:38:46.410626 4140231 24418271411 268396016 18753095680 213396862 114.57067664660138 0.01551333650838265 107.32596882921356 1.4816354626983754
  2025-10-07_09:38:46.508993 676241 24429541382 268397542 18763653011 213542606 112.46775813294259 0.02588850465761544 109.76376669638886 1.5121122273263803
  2025-10-07_09:38:46.609192 510127 24440810529 268400136 18774651221 213694118 112.16190932843065 0.02675628406204999 110.5162993450503 1.5298762480486432
  2025-10-07_09:38:46.710701 660546 24452195957 268402852 18785869605 213849414 112.50153382858953 0.02026131645951459 109.79737205632728 1.523643009064927
  2025-10-07_09:38:46.810843 709651 24463462037 268404881 18796864886 214001994 112.31179830732687 0.0182479162095552 109.64293840922657 1.5312702511008944
  2025-10-07_09:38:46.911183 974825 24474731428 268406712 18807866483 214155642 112.78903197909989 0.01817080213839064 109.08356792534983 1.5210558303801447
  2025-10-07_09:38:47.017012 69956 24486667792 268408635 18819410701 214316614 112.38739125949866 0.016683700222515852 110.76708641155118 1.5507782375319896
  2025-10-07_09:38:47.121245 1845493 24498382320 268410374 18830956339 214478257 113.34216934229154 0.032375102002693855 111.42470304004895 2.0301262805639397
  2025-10-07_09:38:47.225399 1955341 24510187373 268413746 18842561680 214689703 112.07079677880056 0.02675019202381095 110.30999093887641 1.6304678030075728
  2025-10-07_09:38:47.332053 1647721 24522140109 268416599 18854326620 214863598 113.55535284468087 0.027567986927703757 108.68609976185729 1.5584097172183295
  2025-10-07_09:38:47.432242 76426 24533517069 268419361 18865215736 215019733 115.34402541547327 0.12352395610477669 112.44215770921338 1.578229163047201
  2025-10-07_09:38:47.535388 553294 24545414342 268432102 18876813693 215182521 111.81415302603702 0.02188846135458969 110.17907415130561 1.519749191060654
  2025-10-07_09:38:47.637131 858368 24556790661 268434329 18888023654 215337145 112.63021333269342 0.01845763742240993 109.9869516701862 1.5306440775580725
  2025-10-07_09:38:47.737144 646906 24568055124 268436175 18899023757 215490229 113.03056236099306 0.01911544192118402 109.30203726276572 1.5195931391010926
  2025-10-07_09:38:47.837743 699006 24579425919 268438098 18910019465 215643099 112.37222134066005 0.32509689983739914 109.72030741477366 1.5169838657266332
  2025-10-07_09:38:47.938977 690112 24590801857 268471009 18921126938 215796670 112.4935975111902 0.4246173301467386 109.81023869712496 1.5279637451011168
  2025-10-07_09:38:48.040094 711945 24602176864 268513945 18932230612 215951173 112.11191585682617 0.02457487922119498 109.35245250094584 1.5112698084516059
  2025-10-07_09:38:48.145649 502206 24614010831 268516539 18943773304 216110695 112.2830843061886 0.017027491397978364 110.62300851083637 1.5261474516590614
  2025-10-07_09:38:48.246016 675529 24625280359 268518248 18954876215 216263870 112.70013520372892 0.024263540535834988 108.86996630548327 1.5148910529024393
  2025-10-07_09:38:48.346002 410286 24636548728 268520674 18965761623 216415337 111.93938504106461 0.01906605978486716 110.35648888257856 1.5291511199903287
  2025-10-07_09:38:48.447648 832789 24647926985 268522612 18976978984 216570770 112.645782710999 0.021703524852362203 109.9695785402313 1.5224474809301178
